author,page_url,quote,tags,tags_url
J.K. Rowling,https://quotes.toscrape.com/page/4/,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",dumbledore,/tag/dumbledore/page/1/
Jane Austen,https://quotes.toscrape.com/page/6/,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","friendship,love","/tag/friendship/page/1/,/tag/love/page/1/"
Eleanor Roosevelt,https://quotes.toscrape.com/page/6/,“Do one thing every day that scares you.”,"attributed,fear,inspiration","/tag/attributed/page/1/,/tag/fear/page/1/,/tag/inspiration/page/1/"
Dr. Seuss,https://quotes.toscrape.com/page/8/,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","humor,philosophy","/tag/humor/page/1/,/tag/philosophy/page/1/"
J.D. Salinger,https://quotes.toscrape.com/page/8/,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","authors,books,literature,reading,writing","/tag/authors/page/1/,/tag/books/page/1/,/tag/literature/page/1/,/tag/reading/page/1/,/tag/writing/page/1/"
George Carlin,https://quotes.toscrape.com/page/8/,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"humor,insanity,lies,lying,self-indulgence,truth","/tag/humor/page/1/,/tag/insanity/page/1/,/tag/lies/page/1/,/tag/lying/page/1/,/tag/self-indulgence/page/1/,/tag/truth/page/1/"
Bob Marley,https://quotes.toscrape.com/page/4/,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",friendship,/tag/friendship/page/1/
Mother Teresa,https://quotes.toscrape.com/page/4/,“Not all of us can do great things. But we can do small things with great love.”,"misattributed-to-mother-teresa,paraphrased","/tag/misattributed-to-mother-teresa/page/1/,/tag/paraphrased/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/4/,"“To the well-organized mind, death is but the next great adventure.”","death,inspirational","/tag/death/page/1/,/tag/inspirational/page/1/"
Charles M. Schulz,https://quotes.toscrape.com/page/4/,“All you need is love. But a little chocolate now and then doesn't hurt.”,"chocolate,food,humor","/tag/chocolate/page/1/,/tag/food/page/1/,/tag/humor/page/1/"
Marilyn Monroe,https://quotes.toscrape.com/page/6/,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",attributed-no-source,/tag/attributed-no-source/page/1/
Albert Einstein,https://quotes.toscrape.com/page/6/,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",music,/tag/music/page/1/
Haruki Murakami,https://quotes.toscrape.com/page/6/,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","books,thought","/tag/books/page/1/,/tag/thought/page/1/"
